Make,Model,Name,Trim,Year,finalPrice,retailPrice
Jeep,Grand Cherokee,2024 Jeep Grand Cherokee OVERLAND 4X4,OVERLAND 4X4,2024,"$63,902 ","$69,435 "
Jeep,Grand Cherokee,2024 Jeep Grand Cherokee SUMMIT RESERVE 4X4,SUMMIT RESERVE 4X4,2024,"$67,346 ","$73,200 "
Jeep,Grand Cherokee,2024 Jeep Grand Cherokee LIMITED 4X4,LIMITED 4X4,2024,"$48,520 ","$53,020 "
Jeep,Cherokee,2014 Jeep Cherokee Latitude 4x4 SUV,Latitude 4x4,2014,"$14,377 ","$14,770 "
Jeep,Renegade,2016 Jeep Renegade Trailhawk 4x4 SUV,Trailhawk 4x4,2016,"$15,985 ","$15,985 "
Jeep,Compass,2018 Jeep Compass Trailhawk 4x4 SUV,Trailhawk 4x4,2018,"$16,977 ","$18,669 "
Jeep,Renegade,2018 Jeep Renegade Trailhawk 4x4 SUV,Trailhawk 4x4,2018,"$16,990 ","$16,990 "
Kia,Sorento,2020 Kia Sorento 2.4L LX SUV,2.4L LX,2020,"$17,477 ","$23,065 "
Jeep,Wrangler Unlimited,2015 Jeep Wrangler Unlimited Sahara 4x4 SUV,Sahara 4x4,2015,"$17,777 ","$20,931 "
Jeep,Renegade,2019 Jeep Renegade Latitude 4x4 SUV,Latitude 4x4,2019,"$18,925 ","$19,855 "
Jeep,Renegade,2020 Jeep Renegade Latitude 4x4 SUV,Latitude 4x4,2020,"$18,977 ","$20,531 "
Jeep,Wrangler,2015 Jeep Wrangler Sahara 4x4 SUV,Sahara 4x4,2015,"$20,577 ","$20,985 "
Jeep,Renegade,2020 Jeep Renegade Altitude 4x4 SUV,Altitude 4x4,2020,"$21,688 ","$21,988 "
Jeep,Wrangler JK Unlimited,2016 Jeep Wrangler JK Unlimited Sport 4X4 SUV,Sport 4X4,2016,"$22,477 ","$24,400 "
Toyota,RAV4,2020 Toyota RAV4 LE SUV,LE,2020,"$22,677 ","$22,935 "
Nissan,Frontier,2018 Nissan Frontier SV Truck Crew Cab,SV,2018,"$22,996 ","$22,996 "
Volkswagen,Jetta GLI,2020 Volkswagen Jetta GLI 2.0T Autobahn Sedan,2.0T Autobahn,2020,"$23,955 ","$27,646 "
Jeep,Compass,2021 Jeep Compass Limited SUV,Limited,2021,"$23,996 ","$23,996 "
Jeep,Gladiator,2024 Jeep Gladiator NIGHTHAWK 4X4,NIGHTHAWK 4X4,2024,$500 ,"$46,705 "
Jeep,Wrangler,2024 Jeep Wrangler 2-DOOR RUBICON,2-DOOR RUBICON,2024,$500 ,"$54,950 "
Jeep,Cherokee,2019 Jeep Cherokee Latitude Plus 4x4 SUV,Latitude Plus 4x4,2019,"$24,770 ","$24,770 "
Chevrolet,Camaro,2014 Chevrolet Camaro LT w/1LT Convertible,LT w/1LT,2014,"$24,777 ","$28,500 "
Hyundai,Tucson,2022 Hyundai Tucson SEL SUV,SEL,2022,"$24,977 ","$29,580 "
Jeep,Compass,2021 Jeep Compass 80th Special Edition SUV,80th Special Edition,2021,"$25,999 ","$25,999 "
Jeep,Cherokee,2019 Jeep Cherokee Limited 4x4 SUV,Limited 4x4,2019,"$26,445 ","$26,445 "
Jeep,Cherokee,2021 Jeep Cherokee Limited SUV,Limited,2021,"$26,597 ","$30,425 "
Jeep,Compass,2022 Jeep Compass Latitude SUV,Latitude,2022,"$26,935 ","$26,935 "
Jeep,Compass,2021 Jeep Compass 80th Special Edition SUV,80th Special Edition,2021,"$26,990 ","$26,990 "
Jeep,Compass,2024 Jeep Compass LIMITED 4X4,LIMITED 4X4,2024,"$34,340 ","$35,340 "
Jeep,Compass,2024 Jeep Compass LIMITED 4X4,LIMITED 4X4,2024,"$34,340 ","$35,340 "
Jeep,Compass,2024 Jeep Compass LIMITED 4X4,LIMITED 4X4,2024,"$34,340 ","$35,340 "
Jeep,Compass,2024 Jeep Compass LIMITED 4X4,LIMITED 4X4,2024,"$34,935 ","$35,935 "
Jeep,Compass,2024 Jeep Compass LIMITED 4X4,LIMITED 4X4,2024,"$34,935 ","$35,935 "
Jeep,Compass,2024 Jeep Compass LIMITED 4X4,LIMITED 4X4,2024,"$34,935 ","$35,935 "
Jeep,Compass,2024 Jeep Compass TRAILHAWK 4X4,TRAILHAWK 4X4,2024,"$35,085 ","$36,085 "
Jeep,Compass,2024 Jeep Compass TRAILHAWK 4X4,TRAILHAWK 4X4,2024,"$35,085 ","$36,085 "
Jeep,Wrangler,2024 Jeep Wrangler 2-DOOR SPORT S,2-DOOR SPORT S,2024,"$38,055 ","$38,555 "
